"Depth..m.","L...Spectrophotometer.Minolta.CM....."
607.3,53.99
607.31,61.42
607.32,63.63
607.33,62.7
607.34,60.73
607.35,60.19
607.36,50.87
607.37,57.63
607.38,48.72
607.39,52.39
607.4,57.28
607.41,65.01
607.42,66.38
607.43,68.86
607.44,66.75
607.45,67.05
607.46,66.4
607.47,62.74
607.48,63.34
607.49,68.3
607.5,67.58
607.51,68.07
607.52,64.32
607.53,68.87
607.54,70.51
607.55,65.37
607.56,65.06
607.57,70.42
607.58,65.77
607.59,67.04
607.6,67.18
607.61,64.69
607.62,57.39
607.63,50.02
607.64,64.94
607.65,64.71
607.66,63.66
607.67,61.48
607.68,61.89
607.69,53.63
607.7,50.08
607.71,51.37
607.72,48.17
607.73,52.9
607.74,58.2
607.75,65.65
607.76,58.06
607.77,61.66
607.78,63.69
607.79,65.14
607.8,64.22
607.81,63.29
607.82,62.79
607.83,62.87
607.84,60.67
607.85,62.02
607.86,61.29
607.87,64.61
607.88,60.35
607.89,58.08
607.9,54.2
607.91,48.48
607.92,53.21
607.93,50.13
607.94,53.47
607.95,59.82
607.96,60.79
607.97,57.77
607.98,55.02
607.99,52.66
608,57.63
608.01,55.69
608.02,60.36
608.03,56.29
608.04,59.79
608.05,56.88
608.06,57.35
608.07,55.02
608.08,54.23
608.09,52.25
608.1,57.66
608.11,60.06
608.12,58.54
608.13,56.63
608.14,61.08
608.15,57.83
608.16,55.67
608.17,57.64
608.18,57.61
608.19,53.76
608.2,53.62
608.21,50.7
608.22,50
608.23,51.04
608.24,52.54
608.25,51.39
608.26,59.62
608.27,59.12
608.28,60.67
608.29,63.32
608.3,56.28
608.31,53.31
608.32,52.22
608.33,53.36
608.34,54.99
608.35,60.28
608.36,56.67
608.37,57.82
608.38,57.29
608.39,55.18
608.4,59.78
608.41,59.52
608.42,53.59
608.43,62.71
608.44,60.97
608.45,60.17
608.46,61.91
608.47,63.28
608.48,63.93
608.49,70.33
608.5,63.88
608.518,68.99
608.538,62.7
608.558,54.81
608.578,59.61
608.598,58.82
608.618,61.31
608.638,65.55
608.658,64.02
608.678,53.56
608.698,63.24
608.718,61.67
608.738,55.45
608.758,56.77
608.778,54.95
608.798,54.95
608.818,44.87
608.838,50.42
608.858,57.93
608.878,59.89
608.898,59.83
608.918,57.55
608.938,59.86
608.958,57.93
608.978,55.38
608.998,58.31
609.018,51.4
609.038,62.37
609.058,60.14
609.078,59.67
609.098,60.93
609.118,58.52
609.138,58.84
609.158,61.98
609.178,59.63
609.198,56.54
609.218,53.1
609.238,59.44
609.258,59.17
609.278,62.32
609.298,60.08
609.318,57.77
609.338,51.67
609.358,61.18
609.378,64.62
609.398,50.63
609.418,59.77
609.438,54.09
609.458,58.04
609.478,58.68
609.498,47.44
609.518,50.21
609.538,50.09
609.558,56.11
609.578,54.48
609.598,50.98
609.618,47.66
609.638,57.62
609.658,54.43
609.678,57.92
609.698,59.72
609.718,59.08
609.738,56.88
609.758,62.33
609.778,63.81
609.798,60.78
609.818,57.09
609.838,54.13
609.864,44.82
609.884,52.15
609.904,64.74
609.924,63.27
609.944,64.83
609.964,64.17
609.984,60.28
610.004,66.35
610.024,56.54
610.044,52.65
610.064,59.9
610.084,59.14
610.104,58.83
610.124,62.62
610.144,64.58
610.164,71.09
610.16,67.34
610.18,69.48
610.2,61.65
610.22,60.51
610.24,57.94
610.26,59.63
610.28,64.34
610.3,67.94
610.32,68.04
610.34,63.54
610.36,67.8
610.38,66.63
610.4,65.42
610.42,58.67
610.44,58.18
610.46,57.96
610.48,63.19
610.5,65.38
610.52,46.85
610.54,49.35
610.56,57.18
610.58,63.36
610.6,63.75
610.62,62.28
610.64,62.33
610.66,62.45
610.68,65.75
610.7,66.23
610.72,66.67
610.74,66.43
610.76,63.65
610.78,63.82
610.8,61.46
610.82,59.78
610.84,53.73
610.86,48.75
610.88,57.23
610.9,64.98
610.92,64.97
610.94,63.24
610.96,62.31
610.98,64.11
611,59.14
611.02,65.07
611.04,66.36
611.06,63.42
611.08,63.52
611.1,54.44
611.12,59.96
611.14,64.4
611.16,63.66
611.18,63.37
611.2,62.79
611.22,58.23
611.24,53.46
611.26,59.54
611.28,61.12
611.3,63.77
611.32,63.03
611.34,63.36
611.36,58.02
611.38,54.48
611.4,56.17
611.42,58.39
611.44,56.73
611.46,61.93
611.48,59.58
611.5,61.46
611.52,59.52
611.54,58.89
611.56,59.24
611.58,59.26
611.6,62.56
611.612,55.97
611.632,54.03
611.652,62.7
611.672,61.28
611.692,64.74
611.712,68.28
611.732,61.32
611.752,58.68
611.772,61.02
611.792,62.16
611.812,62.79
611.832,60.6
611.852,58.74
611.872,59.04
611.892,54.96
611.912,56.81
611.932,54.79
611.952,57.28
611.972,59.2
611.992,57.64
612.012,55.54
612.032,58.64
612.052,61.62
612.072,59.65
612.092,58.66
612.112,59.49
612.132,59.16
612.152,64.3
612.172,62.68
612.192,62.45
612.212,62.29
612.232,59.11
612.252,60.48
612.272,59.02
612.292,56.17
612.312,57.51
612.332,55.99
612.352,54.91
612.372,56.68
612.392,58.69
612.412,59.23
612.432,59.45
612.452,60.55
612.472,59.68
612.492,61.5
612.512,59.74
612.532,55.42
612.552,54.39
612.572,55.74
612.592,57.91
612.612,60.31
612.632,58.48
612.652,58.78
612.672,60.06
612.692,59.17
612.712,57.57
612.732,43.96
612.752,50.84
612.772,58.78
612.792,58.86
612.812,59.27
612.832,61
612.852,60.19
612.872,62.4
612.892,61.41
612.912,54.48
612.932,54.79
612.952,53.14
612.972,51.08
612.992,59.21
613.012,51.18
613.032,51.37
613.052,52.99
613.072,53.39
613.092,59.05
613.106,61.64
613.126,58.28
613.146,59.37
613.166,59.02
613.186,56.75
613.206,60.17
613.21,59.62
613.23,57.11
613.25,64.66
613.27,55.43
613.29,58.92
613.31,55.58
613.33,56.52
613.35,56.09
613.37,54.31
613.39,55.28
613.41,62.56
613.43,54.65
613.45,56.67
613.47,54.69
613.49,55.53
613.51,55.85
613.53,53.15
613.55,54.02
613.57,54.67
613.59,55.93
613.61,55.73
613.63,61.28
613.65,60.05
613.67,57.89
613.69,57.87
613.71,58.91
613.73,53.21
613.75,57.44
613.77,62.8
613.79,61.1
613.81,60.22
613.83,58.23
613.85,58.26
613.87,58.28
613.89,61.49
613.91,63.67
613.93,59.07
613.95,60.44
613.97,62.03
613.99,60.59
614.01,61.28
614.03,59.7
614.05,60.08
614.07,58.8
614.09,59.24
614.11,59.59
614.13,56.73
614.15,55.14
614.17,55.44
614.19,69.42
614.21,66.5
614.23,66.87
614.25,60.46
614.27,61.87
614.29,65.4
614.31,61.82
614.33,60.36
614.35,62.1
614.37,62.99
614.39,68.1
614.41,64.72
614.43,61.94
614.45,64.44
614.47,63.01
614.49,67.33
614.51,65.07
614.53,70.32
614.55,72.14
614.572,70.66
614.592,65.22
614.612,63.61
614.632,62.15
614.652,61.98
614.672,65.99
614.692,67.81
614.712,69.52
614.732,67.16
614.752,64.69
614.772,60.7
614.792,58.78
614.812,58.89
614.832,61.02
614.852,62.4
614.872,61.22
614.892,58.98
614.912,57.29
614.932,56.54
614.952,56.72
614.972,52.02
614.992,54.34
615.012,51.02
615.032,51.68
615.052,51.04
615.072,57.27
615.092,61.27
615.112,59.33
615.132,58.65
615.152,57.8
615.172,57.37
615.192,54.34
615.212,60.07
615.232,61.48
615.252,60.8
615.272,58.17
615.292,61.4
615.312,62.55
615.332,60.34
615.352,58.4
615.372,59.34
615.392,60.06
615.412,61.91
615.432,60.29
615.452,55.74
615.472,58.63
615.492,61.17
615.512,57.1
615.532,66.79
615.552,65.28
615.572,65.94
615.592,58.96
615.612,56
615.632,60.17
615.652,62.36
615.672,59.63
615.692,69.89
615.712,67.58
615.732,67.65
615.752,65.78
615.772,52.36
615.788,68.03
615.808,66.68
615.828,69.79
615.848,70.89
615.868,68.71
615.888,66.98
615.908,59.98
615.928,62.58
615.948,63.21
615.968,67.44
615.988,63.42
616.008,64.98
616.028,56.6
616.048,71.91
616.068,71.68
616.088,71.91
616.108,71.72
616.128,72.77
616.148,71.39
616.168,70.8
616.188,69.4
616.208,65.47
616.228,75.58
616.25,65.3
616.26,69.53
616.27,67.86
616.28,65.44
616.29,67.49
616.3,61.29
616.31,61.08
616.32,64.75
616.33,59.63
616.34,62.71
616.35,66.74
616.36,69.4
616.37,64.97
616.38,66.73
616.39,69.23
616.4,66.22
616.41,69.16
616.42,70.86
616.43,68.31
616.44,68.51
616.45,68.13
616.46,68.93
616.47,68.09
616.48,67.95
616.49,67.85
616.5,66.13
